Date,Open,High,Low,Close,Volume,Future_Close,Return,Label
2017-08-15 10:00,1.28992,1.2901,1.28667,1.28772,8289,1.28715,-0.00044264281054884336,0
2017-08-15 11:00,1.28773,1.28789,1.2865,1.28687,6139,1.28683,-3.108317079425493e-05,0
2017-08-15 12:00,1.28691,1.2888,1.28464,1.2851,11413,1.28626,0.0009026534900007377,0
2017-08-15 13:00,1.28509,1.28777,1.28482,1.28628,8154,1.28577,-0.00039649221009419033,0
2017-08-15 14:00,1.28628,1.28652,1.28513,1.28531,7863,1.28672,0.0010970116158748322,0
2017-08-15 15:00,1.28534,1.28641,1.2846,1.28598,7524,1.2858,-0.0001399710726448511,0
2017-08-15 16:00,1.28597,1.28678,1.28543,1.28657,4681,1.28471,-0.0014457044700249,0
2017-08-15 17:00,1.28654,1.28751,1.28635,1.28691,5234,1.28636,-0.0004273803140857346,0
2017-08-15 18:00,1.28694,1.28701,1.28621,1.28621,4326,1.28839,0.0016949020766436895,0
2017-08-15 19:00,1.28619,1.28703,1.28612,1.28645,4155,1.28838,0.0015002526332155153,0
2017-08-15 20:00,1.28646,1.28722,1.28618,1.2868,3564,1.28896,0.0016785825303078372,0
2017-08-15 21:00,1.2868,1.28703,1.28635,1.28698,3009,1.28889,0.0014840945469238864,0
2017-08-15 22:00,1.28698,1.28705,1.28653,1.28665,3122,1.2892,0.001981890957136523,0
2017-08-15 23:00,1.28666,1.28681,1.28628,1.28672,2877,1.289,0.0017719472767967481,0
2017-08-16 0:00,1.28667,1.28686,1.2861,1.28637,2256,1.28857,0.001710238889277571,0
2017-08-16 1:00,1.28637,1.28718,1.28596,1.28718,3214,1.29069,0.002726891343867832,0
2017-08-16 2:00,1.28717,1.28739,1.28617,1.28618,2969,1.29012,0.0030633348364923485,1
2017-08-16 3:00,1.28618,1.28711,1.28617,1.28697,2511,1.29054,0.002773957434905272,0
2017-08-16 4:00,1.28696,1.2873,1.28685,1.28715,1650,1.29064,0.0027114166958008834,0
2017-08-16 5:00,1.28715,1.28748,1.28624,1.28676,2685,1.28998,0.0025024091516676616,0
2017-08-16 6:00,1.28674,1.28674,1.285,1.28546,5137,1.28882,0.002613850294836073,0
2017-08-16 7:00,1.28548,1.28781,1.28413,1.28454,8594,1.28893,0.0034175658212276527,1
2017-08-16 8:00,1.28453,1.29015,1.28432,1.28913,9989,1.28887,-0.00020168640866335963,0
2017-08-16 9:00,1.28905,1.2903,1.2882,1.28837,5797,1.28811,-0.00020180538199421338,0
2017-08-16 10:00,1.28837,1.28849,1.28702,1.28715,6768,1.28642,-0.0005671444664570036,0
2017-08-16 11:00,1.28715,1.28777,1.28597,1.28683,6454,1.28659,-0.00018650482192672513,0
2017-08-16 12:00,1.28682,1.2878,1.28612,1.28626,7013,1.28785,0.0012361419930650985,0
2017-08-16 13:00,1.28625,1.2866,1.28494,1.28577,6920,1.28919,0.0026598847383279,0
2017-08-16 14:00,1.28577,1.2874,1.28502,1.28672,7086,1.28904,0.0018030340711265858,0
2017-08-16 15:00,1.28668,1.28741,1.28519,1.2858,6910,1.28868,0.0022398506766214688,0
2017-08-16 16:00,1.2858,1.28594,1.28423,1.28471,4345,1.28771,0.0023351573506860124,0
2017-08-16 17:00,1.28471,1.28713,1.28468,1.28636,6907,1.2874,0.0008084828508350128,0
2017-08-16 18:00,1.28629,1.28888,1.28533,1.28839,12817,1.28738,-0.0007839241223541737,0
2017-08-16 19:00,1.2884,1.28934,1.28804,1.28838,5060,1.28706,-0.0010245424486564625,0
2017-08-16 20:00,1.28839,1.28923,1.28835,1.28896,2786,1.28648,-0.001924031777557178,0
2017-08-16 21:00,1.28894,1.28919,1.28829,1.28889,6609,1.2867,-0.0016991364662617414,0
2017-08-16 22:00,1.28889,1.28928,1.28889,1.2892,2161,1.28714,-0.0015978901644430055,0
2017-08-16 23:00,1.28918,1.28941,1.28888,1.289,2278,1.28639,-0.00202482544608229,0
2017-08-17 0:00,1.28898,1.2892,1.28841,1.28857,2612,1.28708,-0.0011563205724174352,0
2017-08-17 1:00,1.28855,1.29083,1.28846,1.29069,5636,1.28764,-0.0023630771137918005,0
2017-08-17 2:00,1.29069,1.29082,1.28978,1.29012,2685,1.288,-0.0016432579915045542,0
2017-08-17 3:00,1.29012,1.29061,1.28994,1.29054,2373,1.28866,-0.0014567545368606716,0
2017-08-17 4:00,1.29054,1.29082,1.29031,1.29064,2465,1.28925,-0.0010769850616748622,0
2017-08-17 5:00,1.29065,1.29088,1.2896,1.28998,3976,1.28942,-0.00043411525760084224,0
2017-08-17 6:00,1.28998,1.28999,1.2885,1.28882,5402,1.28896,0.00010862649555409831,0
2017-08-17 7:00,1.28885,1.28941,1.28802,1.28893,7142,1.28956,0.0004887775131312555,0
2017-08-17 8:00,1.28892,1.29058,1.28808,1.28887,9241,1.29057,0.0013189848471917287,0
2017-08-17 9:00,1.28888,1.28942,1.28754,1.28811,6699,1.28852,0.000318295797719248,0
2017-08-17 10:00,1.28813,1.2882,1.28568,1.28642,7103,1.28902,0.0020211128558325075,0
2017-08-17 11:00,1.28639,1.2877,1.28525,1.28659,10522,1.28761,0.0007927933529718878,0
2017-08-17 12:00,1.28659,1.28823,1.28638,1.28785,9606,1.28871,0.0006677796327212437,0
2017-08-17 13:00,1.28786,1.28921,1.28732,1.28919,7614,1.28859,-0.0004654085123217966,0
2017-08-17 14:00,1.28917,1.28984,1.28756,1.28904,11525,1.28564,-0.0026376217960653037,0
2017-08-17 15:00,1.28902,1.28918,1.28809,1.28868,7537,1.2846,-0.0031660303566440895,-1
2017-08-17 16:00,1.28867,1.28883,1.28769,1.28771,5977,1.28631,-0.0010872013108540468,0
2017-08-17 17:00,1.28771,1.28834,1.28704,1.2874,9679,1.28726,-0.0001087463103930375,0
2017-08-17 18:00,1.28739,1.28821,1.28732,1.28738,4227,1.28758,0.000155354285447995,0
2017-08-17 19:00,1.28735,1.28788,1.28692,1.28706,5109,1.28751,0.0003496340496944583,0
2017-08-17 20:00,1.28708,1.28732,1.28628,1.28648,4116,1.28723,0.0005829861327031338,0
2017-08-17 21:00,1.28645,1.28713,1.28644,1.2867,2166,1.28684,0.00010880547136093988,0
2017-08-17 22:00,1.28672,1.28742,1.28654,1.28714,2505,1.28738,0.00018645990335164342,0
2017-08-17 23:00,1.28714,1.28737,1.28636,1.28639,2163,1.28766,0.0009872589183685943,0
2017-08-18 0:00,1.28639,1.28741,1.28629,1.28708,4521,1.2878,0.0005594057867421842,0
2017-08-18 1:00,1.28707,1.28788,1.28662,1.28764,2626,1.28757,-5.436302071992749e-05,0
2017-08-18 2:00,1.28764,1.2882,1.28754,1.288,2042,1.28708,-0.0007142857142857784,0
2017-08-18 3:00,1.288,1.28893,1.28799,1.28866,2633,1.28546,-0.0024831996026879466,0
2017-08-18 4:00,1.28867,1.28928,1.28866,1.28925,1345,1.287,-0.0017452006980803736,0
2017-08-18 5:00,1.28922,1.28982,1.28905,1.28942,2094,1.28749,-0.0014967970095081107,0
2017-08-18 6:00,1.28941,1.28941,1.28813,1.28896,6214,1.28758,-0.0010706305858988463,0
2017-08-18 7:00,1.28894,1.28992,1.28834,1.28956,7817,1.28969,0.00010080957846092531,0
2017-08-18 8:00,1.28953,1.29162,1.28811,1.29057,6669,1.28786,-0.0020998473542698237,0
2017-08-18 9:00,1.29057,1.29153,1.2882,1.28852,7125,1.28928,0.0005898239841057862,0
2017-08-18 10:00,1.28851,1.28974,1.28821,1.28902,5479,1.28885,-0.00013188313602585655,0
2017-08-18 11:00,1.28903,1.28915,1.28721,1.28761,6144,1.29034,0.0021202072055981347,0
2017-08-18 12:00,1.28763,1.28896,1.28725,1.28871,8195,1.29017,0.0011329158615980273,0
2017-08-18 13:00,1.28872,1.28939,1.2878,1.28859,9495,1.29078,0.0016995320466557384,0
2017-08-18 14:00,1.28863,1.2888,1.28544,1.28564,11272,1.29043,0.0037257708223141783,1
2017-08-18 15:00,1.28565,1.28655,1.28313,1.2846,10233,1.28994,0.0041569360112097,1
2017-08-18 16:00,1.28463,1.28684,1.28454,1.28631,8662,1.28956,0.0025266071164804504,0
2017-08-18 17:00,1.2863,1.28738,1.28561,1.28726,6491,1.28978,0.0019576464739057275,0
2017-08-18 18:00,1.28726,1.28768,1.28694,1.28758,4036,1.28981,0.0017319312198076364,0
2017-08-18 19:00,1.28757,1.28826,1.28737,1.28751,4276,1.28949,0.0015378521331874673,0
2017-08-18 20:00,1.28755,1.28857,1.28701,1.28723,2617,1.28974,0.0019499234790985032,0
2017-08-21 0:00,1.28712,1.28777,1.2867,1.28684,3396,1.29002,0.0024711696869852418,0
2017-08-21 1:00,1.28687,1.28752,1.28643,1.28738,4008,1.2897,0.0018021097111964313,0
2017-08-21 2:00,1.28737,1.28789,1.28734,1.28766,2014,1.28863,0.0007533044437195713,0
2017-08-21 3:00,1.28767,1.28785,1.28742,1.2878,1878,1.2886,0.0006212144742971937,0
2017-08-21 4:00,1.28781,1.28805,1.28757,1.28757,2239,1.28825,0.0005281266261250028,0
2017-08-21 5:00,1.28758,1.28771,1.28701,1.28708,1893,1.28854,0.001134350623115843,0
2017-08-21 6:00,1.28713,1.28721,1.28523,1.28546,5556,1.28742,0.0015247460053209316,0
2017-08-21 7:00,1.28546,1.28713,1.28501,1.287,6708,1.28573,-0.0009867909867908864,0
2017-08-21 8:00,1.28701,1.28768,1.2865,1.28749,4975,1.28517,-0.001801955743345629,0
2017-08-21 9:00,1.28749,1.28807,1.28685,1.28758,4694,1.28368,-0.0030289380077354044,-1
2017-08-21 10:00,1.28758,1.28974,1.28737,1.28969,4825,1.28259,-0.005505198923772436,-1
2017-08-21 11:00,1.28968,1.2899,1.28783,1.28786,5110,1.28269,-0.004014411504355997,-1
2017-08-21 12:00,1.28787,1.28971,1.28774,1.28928,6413,1.28223,-0.005468168279970209,-1
2017-08-21 13:00,1.28927,1.29033,1.28814,1.28885,7047,1.28241,-0.004996702486712912,-1
2017-08-21 14:00,1.28884,1.29163,1.28884,1.29034,10073,1.28338,-0.00539392718198306,-1
2017-08-21 15:00,1.29034,1.29135,1.28959,1.29017,7009,1.28324,-0.005371385166295983,-1
2017-08-21 16:00,1.29016,1.2912,1.28973,1.29078,4337,1.28404,-0.005221648925455846,-1
2017-08-21 17:00,1.29083,1.29134,1.29003,1.29043,3329,1.28204,-0.006501708732747913,-1
2017-08-21 18:00,1.29044,1.2909,1.28978,1.28994,4216,1.28253,-0.005744453230382862,-1
2017-08-21 19:00,1.28991,1.29017,1.28936,1.28956,3467,1.28223,-0.005684109308601415,-1
2017-08-21 20:00,1.28956,1.29009,1.2895,1.28978,2607,1.28225,-0.005838204965187943,-1
2017-08-21 21:00,1.28978,1.2901,1.28949,1.28981,1157,1.28222,-0.005884587652444928,-1
2017-08-21 22:00,1.28981,1.29003,1.28947,1.28949,1862,1.2822,-0.00565339785496588,-1
2017-08-21 23:00,1.28949,1.28977,1.28931,1.28974,2101,1.2822,-0.005846139531998751,-1
2017-08-22 0:00,1.28973,1.29023,1.28959,1.29002,2449,1.28126,-0.006790592393916328,-1
2017-08-22 1:00,1.29002,1.29085,1.2895,1.2897,3016,1.28146,-0.00638908273241845,-1
2017-08-22 2:00,1.2897,1.28971,1.28841,1.28863,2437,1.28237,-0.004857872314007805,-1
2017-08-22 3:00,1.2886,1.28885,1.28816,1.2886,3360,1.28219,-0.0049743908117336755,-1
2017-08-22 4:00,1.2886,1.28874,1.28819,1.28825,2177,1.28148,-0.005255191150785876,-1
2017-08-22 5:00,1.28825,1.28854,1.28751,1.28854,3809,1.28276,-0.004485696990392363,-1
2017-08-22 6:00,1.28853,1.28898,1.287,1.28742,5211,1.28252,-0.0038060617358747217,-1
2017-08-22 7:00,1.2874,1.28772,1.28524,1.28573,6659,1.28117,-0.0035466233190484253,-1
2017-08-22 8:00,1.28574,1.28603,1.28421,1.28517,6685,1.27996,-0.004053938389473766,-1
2017-08-22 9:00,1.28512,1.28512,1.28254,1.28368,5792,1.27985,-0.002983609622335792,0
2017-08-22 10:00,1.28367,1.2838,1.2822,1.28259,6116,1.28057,-0.0015749382109636612,0
2017-08-22 11:00,1.2826,1.28298,1.2811,1.28269,6700,1.281,-0.0013175435997787588,0
2017-08-22 12:00,1.28265,1.28363,1.28172,1.28223,6351,1.27993,-0.0017937499512568067,0
2017-08-22 13:00,1.28223,1.28398,1.28186,1.28241,7711,1.27907,-0.002604471268939035,0
2017-08-22 14:00,1.28241,1.28356,1.28107,1.28338,7486,1.27956,-0.0029765151397092016,0
2017-08-22 15:00,1.28339,1.28454,1.2831,1.28324,6982,1.27859,-0.0036236401608429336,-1
2017-08-22 16:00,1.28324,1.28404,1.28308,1.28404,4720,1.27895,-0.003964050964144428,-1
2017-08-22 17:00,1.28404,1.28404,1.28188,1.28204,4049,1.28017,-0.0014586128357929606,0
2017-08-22 18:00,1.28205,1.28286,1.28184,1.28253,2317,1.28055,-0.0015438235362914554,0
